rid,date,time,lat,lng
1427,2022-08-30,15:27:49 Z,52.467491833333334,13.410998166666667
1428,2022-08-30,15:27:54 Z,52.467492166666666,13.410996333333333
1429,2022-08-30,15:27:59 Z,52.467492,13.410994166666667
1430,2022-08-30,15:27:59 Z,52.467492,13.410994166666667
1431,2022-08-30,15:28:04 Z,52.46749233333333,13.4109965
1432,2022-08-30,15:28:09 Z,52.467492666666665,13.410996333333333
1433,2022-08-30,15:28:14 Z,52.467494,13.4109935
1434,2022-08-30,15:28:19 Z,52.46749366666667,13.410989333333333
1435,2022-08-30,15:28:24 Z,52.467493166666664,13.410990166666666
1436,2022-08-30,15:28:29 Z,52.467492166666666,13.4109915
1437,2022-08-30,15:28:34 Z,52.46749116666667,13.4109935
1438,2022-08-30,15:28:39 Z,52.467490166666664,13.410992
1439,2022-08-30,15:28:44 Z,52.467491,13.410989833333334
1440,2022-08-30,15:28:49 Z,52.467492,13.41099
1441,2022-08-30,15:28:54 Z,52.46749233333333,13.410989166666667
1442,2022-08-30,15:28:59 Z,52.467493166666664,13.410984833333334
1443,2022-08-30,15:29:04 Z,52.46749416666667,13.410981333333334
1444,2022-08-30,15:29:09 Z,52.4674935,13.410979833333334
1445,2022-08-30,15:29:14 Z,52.467494333333335,13.410978333333333
1446,2022-08-30,15:29:19 Z,52.467494,13.410977833333334
1447,2022-08-30,15:29:24 Z,52.467493166666664,13.410976333333334
1448,2022-08-30,15:29:24 Z,52.467493166666664,13.410976333333334
1449,2022-08-30,15:29:29 Z,52.46749233333333,13.410975166666667
1450,2022-08-30,15:29:34 Z,52.46749,13.410976333333334
1451,2022-08-30,15:29:39 Z,52.46749,13.410977666666668
1452,2022-08-30,15:29:44 Z,52.46749033333333,13.410977666666668
1453,2022-08-30,15:29:49 Z,52.467490166666664,13.4109745
1454,2022-08-30,15:29:54 Z,52.4674915,13.410974666666666
1455,2022-08-30,15:29:59 Z,52.46749166666667,13.410976166666666
1456,2022-08-30,15:30:04 Z,52.46749366666667,13.4109765
1457,2022-08-30,15:30:09 Z,52.46749333333333,13.410975833333334
1458,2022-08-30,15:30:14 Z,52.46749283333333,13.410975666666667
1459,2022-08-30,15:30:19 Z,52.46749233333333,13.410977833333334
1460,2022-08-30,15:30:24 Z,52.46749333333333,13.410975833333334
1461,2022-08-30,15:30:29 Z,52.46749283333333,13.410976833333333
1462,2022-08-30,15:30:34 Z,52.46749166666667,13.410977833333334
1463,2022-08-30,15:30:39 Z,52.46749283333333,13.4109785
1464,2022-08-30,15:30:44 Z,52.46749416666667,13.41098
1465,2022-08-30,15:30:49 Z,52.467494,13.410979666666666
1466,2022-08-30,15:30:54 Z,52.467493166666664,13.4109805
1467,2022-08-30,15:30:59 Z,52.4674925,13.4109815
1468,2022-08-30,15:31:04 Z,52.46749366666667,13.410981666666666
1469,2022-08-30,15:31:09 Z,52.46749466666667,13.410978833333333
1470,2022-08-30,15:31:14 Z,52.4674945,13.410978166666666
1471,2022-08-30,15:31:19 Z,52.46749283333333,13.410977166666667
1472,2022-08-30,15:31:24 Z,52.4674915,13.410976
1473,2022-08-30,15:31:29 Z,52.467490166666664,13.4109755
1474,2022-08-30,15:31:34 Z,52.4674905,13.410975333333333
1475,2022-08-30,15:31:39 Z,52.46749066666667,13.410974333333334
1476,2022-08-30,15:31:44 Z,52.46749,13.410973666666667
1477,2022-08-30,15:31:49 Z,52.467492666666665,13.410972833333334
1478,2022-08-30,15:31:54 Z,52.4674945,13.410971333333332
1479,2022-08-30,15:31:59 Z,52.467495666666665,13.410974666666666
1480,2022-08-30,15:32:04 Z,52.467517,13.410987333333333
1481,2022-08-30,15:32:09 Z,52.46755783333333,13.4109855
1482,2022-08-30,15:32:14 Z,52.46760233333333,13.410957
1483,2022-08-30,15:32:19 Z,52.46761383333333,13.410934333333334
1484,2022-08-30,15:32:24 Z,52.467611,13.410933833333333
1485,2022-08-30,15:32:29 Z,52.46761133333333,13.410931833333333
1486,2022-08-30,15:32:34 Z,52.46761033333333,13.410930666666667
1487,2022-08-30,15:32:39 Z,52.467610666666666,13.410928
1488,2022-08-30,15:32:44 Z,52.467631,13.4109305
1489,2022-08-30,15:32:49 Z,52.46763283333333,13.410931
1490,2022-08-30,15:32:54 Z,52.46763416666667,13.410930833333333
1491,2022-08-30,15:32:59 Z,52.467637,13.4109275
1492,2022-08-30,15:33:04 Z,52.46764266666667,13.410925166666667
1493,2022-08-30,15:33:09 Z,52.467642833333336,13.410930666666667
1494,2022-08-30,15:33:14 Z,52.467643833333334,13.4109335
1495,2022-08-30,15:33:19 Z,52.467643833333334,13.410931666666666
1496,2022-08-30,15:33:24 Z,52.46764066666667,13.410934666666666
1497,2022-08-30,15:33:29 Z,52.467638666666666,13.4109415
1498,2022-08-30,15:33:34 Z,52.46763833333333,13.410945166666666
1499,2022-08-30,15:33:39 Z,52.467642,13.410944166666667
1500,2022-08-30,15:33:44 Z,52.46764566666667,13.410938333333334
1501,2022-08-30,15:33:49 Z,52.467650166666665,13.4109305
1502,2022-08-30,15:33:54 Z,52.4676515,13.4109245
1503,2022-08-30,15:33:59 Z,52.46764916666667,13.410929
1504,2022-08-30,15:34:04 Z,52.46764866666667,13.410928
1505,2022-08-30,15:34:09 Z,52.4676485,13.410924
1506,2022-08-30,15:34:14 Z,52.467648,13.410927
1507,2022-08-30,15:34:19 Z,52.467649,13.410930166666667
1508,2022-08-30,15:34:24 Z,52.46764916666667,13.410927833333334
1509,2022-08-30,15:34:29 Z,52.467647,13.410929333333334
1510,2022-08-30,15:34:34 Z,52.46764616666667,13.410931166666666
1511,2022-08-30,15:34:39 Z,52.4676475,13.410934333333334
1512,2022-08-30,15:34:44 Z,52.467646333333334,13.410936166666666
1513,2022-08-30,15:34:49 Z,52.4676485,13.410932833333334
1514,2022-08-30,15:34:54 Z,52.4676475,13.410939833333334
1515,2022-08-30,15:34:59 Z,52.467648833333335,13.410938666666667
1516,2022-08-30,15:35:04 Z,52.46764783333333,13.410940833333333
1517,2022-08-30,15:35:09 Z,52.467649,13.410942333333333
1518,2022-08-30,15:35:14 Z,52.46764833333334,13.410943166666666
1519,2022-08-30,15:35:19 Z,52.4676445,13.4109505
1520,2022-08-30,15:35:24 Z,52.467644166666666,13.410950833333333
1521,2022-08-30,15:35:29 Z,52.467643333333335,13.410952166666666
1522,2022-08-30,15:35:34 Z,52.46764533333333,13.4109495
1523,2022-08-30,15:35:39 Z,52.4676405,13.410950166666666
1524,2022-08-30,15:35:44 Z,52.467639166666665,13.410951
